fid,new_commun,old_commun,mean_pev,date
8,IFANADIANA,IFANADIANA,-0.7344147528443788,2001-11
3,KELILALINA,KELILALINA,-0.7009183746671444,2001-11
12,MAROHARATRA,MAROHARATRA,-0.7555977124154818,2001-11
13,MAROTOKO,MAROTOKO,-0.5169701679056908,2001-11
1,RANOMAFANA,RANOMAFANA,-0.6235975998664268,2001-11
10,TSARATANANA,TSARATANANA,-0.7483880062768805,2001-11
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.4727722222543661,2001-12
4,AMBOHIMIERA,AMBOHIMIERA,-0.393586863355172,2001-12
9,ANALAMPASINA,ANALAMPASINA,-0.6003555587533704,2001-12
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.4760374600690053,2001-12
7,AMBIABE,ANDRORANGAVOLA,-0.5799137575027049,2001-12
14,ANTARETRA,ANTARETRA,-0.6755371996121962,2001-12
15,ANTSINDRA,ANTSINDRA,-0.671460915099447,2001-12
5,AMPASINAMBO,FASINTSARA,-0.68657596119257,2001-12
11,FASINTSARA,FASINTSARA,-0.624429717133616,2001-12
8,IFANADIANA,IFANADIANA,-0.6512833161958305,2001-12
3,KELILALINA,KELILALINA,-0.6223786592742595,2001-12
12,MAROHARATRA,MAROHARATRA,-0.6327698405777966,2001-12
13,MAROTOKO,MAROTOKO,-0.47460707962270327,2001-12
1,RANOMAFANA,RANOMAFANA,-0.556030887238329,2001-12
10,TSARATANANA,TSARATANANA,-0.6513655519397011,2001-12
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.3827867332542455,2002-01
4,AMBOHIMIERA,AMBOHIMIERA,-0.34145569139514603,2002-01
9,ANALAMPASINA,ANALAMPASINA,-0.49393845588902324,2002-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3954247284092182,2002-01
7,AMBIABE,ANDRORANGAVOLA,-0.48402877963786684,2002-01
14,ANTARETRA,ANTARETRA,-0.5443966721557696,2002-01
15,ANTSINDRA,ANTSINDRA,-0.5132010667133343,2002-01
5,AMPASINAMBO,FASINTSARA,-0.5350971462648728,2002-01
11,FASINTSARA,FASINTSARA,-0.48125917696436005,2002-01
8,IFANADIANA,IFANADIANA,-0.531722656363726,2002-01
3,KELILALINA,KELILALINA,-0.5160683185277871,2002-01
12,MAROHARATRA,MAROHARATRA,-0.4775838247250784,2002-01
13,MAROTOKO,MAROTOKO,-0.3913457428594003,2002-01
1,RANOMAFANA,RANOMAFANA,-0.4738858831668517,2002-01
10,TSARATANANA,TSARATANANA,-0.515656150332179,2002-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.23753637155921956,2002-02
4,AMBOHIMIERA,AMBOHIMIERA,-0.2143606723304254,2002-02
9,ANALAMPASINA,ANALAMPASINA,-0.2994912217529073,2002-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.2468574809832104,2002-02
7,AMBIABE,ANDRORANGAVOLA,-0.2923328125642703,2002-02
14,ANTARETRA,ANTARETRA,-0.3285083387734489,2002-02
15,ANTSINDRA,ANTSINDRA,-0.3082886611276602,2002-02
5,AMPASINAMBO,FASINTSARA,-0.3317978988183879,2002-02
11,FASINTSARA,FASINTSARA,-0.29457869014412846,2002-02
8,IFANADIANA,IFANADIANA,-0.3183001911356537,2002-02
3,KELILALINA,KELILALINA,-0.31010702052733535,2002-02
