"fid","comm_fkt","new_commun","old_commun","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
109,"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.764461517334,23.48805809021,17.3601779937744,2103.66162109375,391.172027587891,57.2717323303223,74.0598526000977,1070.87976074219,186.65364074707,1031.92639160156,221.990539550781,10.1701889038086,61.7430458068848,255.46875,28.2995433807373,11.8276929855347,16.4718494415283,23.3761501312256,19.013843536377
110,"AMBOHIMANGA DU SUD_SAHAMARANA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.642578125,23.3686923980713,17.2549304962158,2125.6376953125,389.178863525391,57.6010971069336,72.4167251586914,1070.68176269531,190.232025146484,1028.23498535156,232.265823364258,10.0933170318604,61.8092727661133,255.034576416016,28.1197471618652,11.7899780273438,16.3297691345215,23.2561454772949,18.8752593994141
111,"AMBOHIMANGA DU SUD_AMBODIMANGA NORD","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.6676216125488,23.441915512085,17.2553997039795,2056.72875976562,381.464904785156,56.2404594421387,74.2598495483398,1040.41711425781,179.573699951172,1008.68041992188,215.755889892578,10.2804841995239,61.954288482666,257.768585205078,28.3291969299316,11.7354898452759,16.5937061309814,23.3147640228271,18.8694534301758
112,"AMBOHIMANGA DU SUD_VOHITRARIVO","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.6674404144287,23.441219329834,17.2510471343994,2074.7568359375,382.961608886719,55.7940063476562,73.7633438110352,1045.92126464844,182.056213378906,1012.19091796875,221.494415283203,10.270562171936,61.8135414123535,258.279754638672,28.3405532836914,11.7250900268555,16.6154632568359,23.3285961151123,18.8610134124756
113,"ANALAMPASINA_AMBOHIMALAZA","ANALAMPASINA","ANALAMPASINA",20.7399063110352,23.4938716888428,17.309850692749,2050.71044921875,384.462554931641,56.6826019287109,75.3068161010742,1049.84045410156,177.822326660156,1016.99365234375,209.654281616211,10.2780752182007,61.7189407348633,257.505157470703,28.3694171905518,11.7162704467773,16.653148651123,23.37087059021,18.9821395874023
114,"ANALAMPASINA_MANJIRIANA SUD","ANALAMPASINA","ANALAMPASINA",20.3686981201172,23.1058692932129,16.9143257141113,1985.17700195312,374.475555419922,54.9284362792969,75.9159317016602,1016.27893066406,168.946960449219,991.436218261719,196.93798828125,10.1639127731323,61.4266128540039,258.000457763672,27.9090785980225,11.362645149231,16.5464344024658,22.9860153198242,18.6246929168701
115,"FASINTSARA_ANTENIMBELONA","FASINTSARA","FASINTSARA",20.4795360565186,23.2444381713867,17.0969257354736,2094.97680664062,376.475769042969,55.6799507141113,71.6666259765625,1037.09411621094,186.576187133789,1001.67291259766,236.652221679688,10.1348209381104,62.0728225708008,257.150848388672,28.0888996124268,11.761528968811,16.3273696899414,23.1305561065674,18.6269683837891
116,"FASINTSARA_AMBOHINIHAONANA","FASINTSARA","FASINTSARA",20.5106201171875,23.2819442749023,17.1190090179443,2096.98413085938,378.415374755859,56.1802253723145,71.9219970703125,1040.3046875,187.400482177734,1004.89233398438,235.506652832031,10.1843700408936,62.1086006164551,257.740753173828,28.1350879669189,11.7374114990234,16.3976783752441,23.1709403991699,18.666955947876
117,"FASINTSARA_MAROVORAKA","FASINTSARA","FASINTSARA",20.4706840515137,23.245246887207,17.0529155731201,2061.31860351562,373.376129150391,55.0953979492188,72.355827331543,1026.92260742188,181.737518310547,992.119079589844,227.269226074219,10.3149127960205,62.1348266601562,258.855682373047,28.1415634155273,11.5405864715576,16.6009769439697,23.1394214630127,18.6468334197998
118,"FASINTSARA_AMBATOMANJAKA","FASINTSARA","FASINTSARA",20.5276298522949,23.2906818389893,17.1362915039062,2119.80053710938,381.606781005859,56.8587875366211,71.1468124389648,1049.3359375,190.746627807617,1010.91461181641,240.728515625,10.1175661087036,61.8390960693359,257.407745361328,28.1075401306152,11.7463617324829,16.3611793518066,23.1900100708008,18.6929950714111
119,"FASINTSARA_TSARAKIANJA","FASINTSARA","FASINTSARA",20.583251953125,23.3569412231445,17.1722507476807,2096.57934570312,382.733612060547,56.5161247253418,72.5435180664062,1047.85461425781,187.253875732422,1012.31982421875,230.086380004883,10.2170057296753,61.8236083984375,258.269714355469,28.2317371368408,11.7056198120117,16.5261154174805,23.2469215393066,18.761251449585
120,"AMBOHIMIERA_AMBOLO","AMBOHIMIERA","AMBOHIMIERA",19.49853515625,22.2362670898438,16.0206890106201,1856.79541015625,350.987182617188,50.5532035827637,76.6044158935547,949.603698730469,157.062622070312,936.493591308594,174.109909057617,10.1147451400757,61.4297370910645,259.546264648438,26.9987602233887,10.5332908630371,16.4654712677002,22.1743583679199,17.2685890197754
121,"AMBOHIMIERA_AMBINANITOMAROSANA","AMBOHIMIERA","AMBOHIMIERA",19.7482662200928,22.4850063323975,16.280574798584,1914.71691894531,359.263793945312,53.4996948242188,75.4947509765625,970.956848144531,165.708709716797,958.012939453125,184.909698486328,10.0971384048462,61.357982635498,258.964904785156,27.2269172668457,10.7709436416626,16.4559745788574,22.4013042449951,17.7404975891113
122,"AMBOHIMIERA_AMBOHIDAZA","AMBOHIMIERA","AMBOHIMIERA",17.9230041503906,20.691011428833,14.3560981750488,1621.77685546875,308.439636230469,42.8585319519043,77.5478897094727,830.17724609375,135.00407409668,829.892333984375,139.729156494141,9.91493034362793,60.6825256347656,264.797424316406,25.3411521911621,9.00342750549316,16.3377246856689,20.6853313446045,14.7483406066895
123,"AMBOHIMIERA_AMPANTSONA","AMBOHIMIERA","AMBOHIMIERA",17.4501438140869,20.2261085510254,13.8563508987427,1535.314453125,294.685699462891,39.7813339233398,78.621826171875,794.335327148438,125.177391052246,794.335327148438,127.495170593262,10.0025281906128,60.9128341674805,265.769226074219,24.9497852325439,8.53012657165527,16.4196586608887,20.2261085510254,14.1792325973511
